11207.json|53.2522307|18.6042458
11585.json|52.7952408|18.2595624
11586.json|52.7952408|18.2595624
11592.json|52.7887258|18.2745066
11593.json|52.800565|18.2559842
11597.json|52.796131|18.2586281
11598.json|52.7967616|18.2580744
11599.json|52.7971794|18.2573719
11603.json|52.7951627|18.2512925
11604.json|52.7925133|18.2631079
11605.json|52.7634568|18.2784431
70103.json|52.7967801|18.2599219
70998.json|51.1208192|16.8753981551
71206.json|52.7549872|18.2551758
72216.json|51.1552151|17.0655659
72484.json|51.17874|16.1619057481
72488.json|51.155051|16.8629463
72675.json|51.1181365|17.0540001
72676.json|51.114575|17.0481972
72677.json|51.08021545|17.0064586314
72978.json|51.1084408|17.0291732
73225.json|51.1089776|17.0326689
73239.json|52.7956121|18.2509865
73452.json|51.17874|16.1619057481
73781.json|51.112428|17.0556329
73984.json|51.0963517|17.0374783
74481.json|51.151312|17.1234944
74484.json|51.1271192|17.0494042
74487.json|51.0725282|17.0020652
74488.json|51.115058|17.0604909
74489.json|51.0780032|17.0083978
74490.json|51.0891478|17.041066
74493.json|51.0642796|17.080144697
75085.json|51.1346235|17.0148991
75095.json|51.1242472|17.0412256
75100.json|51.1271591|16.9538618
75101.json|51.1196824|16.9551819
75106.json|51.1267232|17.0345238
75578.json|51.0864533|17.0123993
76210.json|51.1123898|17.0371621
76211.json|51.1185325|17.0535284
76213.json|51.1175815|17.072483
76216.json|51.0877946|17.0481317
76917.json|52.7964585|18.2592273
8232.json|51.1089776|17.0326689
8233.json|51.1089776|17.0326689
8234.json|51.1089776|17.0326689
8235.json|51.1089776|17.0326689
8236.json|51.1089776|17.0326689
8238.json|51.1089776|17.0326689
8241.json|51.1089776|17.0326689
8243.json|51.1023144|17.0334591
8244.json|51.1143078|17.0373559
8245.json|51.1143239|17.0460275
8250.json|51.1020146|17.0295145
8251.json|51.10667445|17.0300769091
8252.json|51.1037257|16.8856372
8253.json|51.0941866|17.0340571
8254.json|51.1143239|17.0460275
8255.json|51.1079295|17.0869698771
8256.json|51.0932601|17.0106587
8258.json|51.1152246|17.043602
8262.json|51.0784861|17.089678
8264.json|51.12026165|17.0502873809
8267.json|51.1099403|17.1087345
8269.json|51.0870077|17.0175496
8278.json|51.1072978|17.035447
8290.json|51.1016011|17.0528721
8293.json|51.1104323|17.0610200871
8301.json|51.1090222|17.0399371
8318.json|51.113739|17.0355938
8353.json|51.0887442|17.0283623
8354.json|51.1089776|17.0326689
8358.json|51.1294693|17.078587
8361.json|51.1042581|17.074808239
8391.json|51.1058485|17.0432215
8393.json|51.1090222|17.0399371
8394.json|51.1089295|17.0423753
8396.json|51.1114903|17.0441604
8400.json|51.1233955|17.0379353
8401.json|51.1107615|17.0318443
8403.json|51.1108876|17.0476539181
8404.json|51.1102502|17.0450527
8408.json|51.1138778|17.0346684
8422.json|51.1127415|17.0362712
8430.json|51.1125039|17.0326803
8431.json|51.1273743|17.0295322
8439.json|51.1089776|17.0326689
8460.json|51.1014605|17.0054122
8471.json|51.1246429|17.0361614
8475.json|51.1573295|17.035173
8481.json|51.1278201|16.9836049
8488.json|51.0949859|17.0336801
8492.json|51.1092094|17.017464
8493.json|51.1080428|17.0211513
8497.json|51.1227512|17.0305589
8502.json|51.1175124|17.0244417
8505.json|51.10458005|17.057821482
8506.json|51.1287988|17.0275781
8507.json|51.1287988|17.0275781
8509.json|51.1257103|17.0280794
8510.json|51.1257103|17.0280794
8511.json|51.1257103|17.0280794
8513.json|51.1288319|17.0367229
8514.json|51.1288319|17.0367229
8515.json|51.1142943|17.0446114
8517.json|51.1161143|17.0374312147
